"Participant","Carrier","SPL","SL","Rayleigh","Ftest"
"ANH4207","u_F1",20,3.66,0.14749234,0.162306558329961
"ANH4207","u_F1",35,18.66,0.01139418,0.260717326927092
"ANH4207","u_F1",50,33.66,0.26106527,0.149507575827308
"ANH4207","u_F1",65,48.66,0,7.16378188804954e-07
"ANH4207","u_F2",20,-8.8,0.81063273,0.706758075237864
"ANH4207","u_F2",35,6.2,0.03989975,0.201493275434092
"ANH4207","u_F2",50,21.2,1.01e-06,3.56254155959819e-05
"ANH4207","u_F2",65,36.2,0,7.41294200869033e-11
"ANH4208","a_F1",20,4.9,0.06073154,0.0608158565877983
"ANH4208","a_F1",35,19.9,0.06698775,0.0317413591729344
"ANH4208","a_F1",50,34.9,0.40657139,0.254926494039689
"ANH4208","a_F1",65,49.9,0.01059027,0.064725473030898
"ANH4208","a_F2",20,1.71,0.26127728,0.261946840366653
"ANH4208","a_F2",35,16.71,0.50088134,0.511259529247016
"ANH4208","a_F2",50,31.71,0,8.6723218219019e-07
"ANH4208","a_F2",65,46.71,0,7.03413328038313e-08
"ANH4208","i_F1",20,3.46,0.0731761,0.0344081481560317
"ANH4208","i_F1",35,18.46,0.00023271,0.0101292966584357
"ANH4208","i_F1",50,33.46,0.69977906,0.851814528257101
"ANH4208","i_F1",65,48.46,4e-08,2.94505155475404e-08
"ANH4208","i_F2",20,-8.64,0.90273997,0.595186821565791
"ANH4208","i_F2",35,6.36,0.40316079,0.40523712959148
"ANH4208","i_F2",50,21.36,0.00034291,0.000584229976379141
"ANH4208","i_F2",65,36.36,1.7e-06,1.79251072901873e-06
"ANH4208","s",20,-10.36,0.27449291,0.386640304596994
"ANH4208","s",35,4.64,1.705e-05,0.000285756006264061
"ANH4208","s",50,19.64,0,4.25404968232622e-07
"ANH4208","s",65,34.64,0,7.92119467522422e-05
"ANH4208","sh",20,-4.37,0.9152286,0.714513038201786
"ANH4208","sh",35,10.63,0.00014085,0.000879091214110312
"ANH4208","sh",50,25.63,0,9.56998308346287e-07
"ANH4208","sh",65,40.63,0,2.12316427497995e-05
"ANH4208","u_F1",20,3.66,0.60847411,0.829903288341415
"ANH4208","u_F1",35,18.66,0.0358213,0.229835420709963
"ANH4208","u_F1",50,33.66,0.1001403,0.00702758184136395
"ANH4208","u_F1",65,48.66,0,1.09719841398184e-07
"ANH4208","u_F2",20,-3.8,0.74895551,0.291132721281181
"ANH4208","u_F2",35,11.2,0.37836288,0.589491776098328
"ANH4208","u_F2",50,26.2,0.739149,0.333885138797526
"ANH4208","u_F2",65,41.2,0,1.84215607626677e-07
"ANH4209","a_F1",20,4.9,0.32440856,0.351802391977809
"ANH4209","a_F1",35,19.9,0.00147482,0.00607423772450398
"ANH4209","a_F1",50,34.9,1.487e-05,0.00524024521372217
"ANH4209","a_F1",65,49.9,3e-08,4.17020783462448e-06
"ANH4209","a_F2",20,-3.29,0.91971666,0.948087609919588
"ANH4209","a_F2",35,11.71,0.66734639,0.779645581115142
"ANH4209","a_F2",50,26.71,3e-08,0.00822283671392452
"ANH4209","a_F2",65,41.71,9.387e-05,4.85285952033378e-05
"ANH4209","i_F1",20,-1.54,0.79127541,0.613474918179921
"ANH4209","i_F1",35,13.46,0.31184557,0.305076847799556
"ANH4209","i_F1",50,28.46,0.00756815,0.0625387756684937
"ANH4209","i_F1",65,43.46,0,1.39729566700075e-10
"ANH4209","i_F2",20,-13.64,0.66125696,0.753431501004152
"ANH4209","i_F2",35,1.36,0.90417302,0.444178636344275
"ANH4209","i_F2",50,16.36,0.92242245,0.257417259182954
"ANH4209","i_F2",65,31.36,7e-07,0.000331375052076997
"ANH4209","s",20,-5.36,0.18912933,0.351290814292991
"ANH4209","s",35,9.64,0.03245938,0.252666105256427
"ANH4209","s",50,24.64,0,0.000129086844361941
"ANH4209","s",65,39.64,0,4.0849007811662e-07
"ANH4209","sh",20,-4.37,0.49643117,0.339506987038074
"ANH4209","sh",35,10.63,0.48497596,0.77934305810697
"ANH4209","sh",50,25.63,0,0.000985975116329937
"ANH4209","sh",65,40.63,0,1.1126477950724e-05
"ANH4209","u_F1",20,3.66,0.27132646,0.156027998828439
"ANH4209","u_F1",35,18.66,0.65290785,0.258684087405529
"ANH4209","u_F1",50,33.66,0,2.42754068475511e-06
"ANH4209","u_F1",65,48.66,0,3.84088610231764e-09
