"race","activity","bmi"
"2","3",21.519391383
"2","2",20.261263663
"2","3",35.610181841
"2","2",48.827065798
"2","3",21.904928569
"2","2",22.666292673
"2","1",29.138159756
"2","2",36.69050153
"2","3",30.650120909
"2","1",23.24896797
"2","2",20.481831542
"2","3",17.334735311
"2","2",33.870175617
"2","2",24.705214824
"2","3",22.565406621
"2","2",27.659499085
"2","1",29.978970523
"2","2",22.947279772
"2","1",31.035747538
"2","2",18.075852802
"2","1",25.794432458
"2","3",20.911212431
"2","2",28.182189095
"2","3",28.144182948
"2","3",27.521028865
"2","2",17.201654836
"2","2",22.001157854
"2","1",40.19338706
"2","3",21.84823083
"2","2",23.812349195
"2","1",23.381376536
"2","2",16.54897891
"2","3",19.033072879
"2","1",20.737432797
"2","2",30.90233676
"2","3",24.541562693
"2","2",19.210218531
"2","2",42.421582337
"2","2",29.023211611
"2","1",21.190930282
"2","2",27.842951967
"2","2",26.208585159
"2","2",29.055373811
"2","3",36.569637781
"2","2",21.533080507
"2","2",17.109470507
"2","1",18.224634703
"2","3",22.977909298
"2","2",22.862797387
"1","3",19.848650808
"2","3",17.870092466
"2","1",18.249888272
"2","2",26.555789415
"2","2",20.889585135
"2","2",23.515625
"2","2",17.939602153
"2","2",32.184604627
"1","2",33.175774609
"1","2",26.097462048
"2","3",20.065437284
"2","1",20.481240955
"2","3",21.92175951
"2","2",23.342383751
"2","3",20.009631487
"2","2",25.887573964
"1","2",20.725017032
"2","2",22.034072619
"1","3",23.844167055
"2","3",23.447163294
"1","3",20.400834835
"2","1",28.325283111
"2","2",22.151556394
"2","2",19.26633054
"1","2",23.240947383
"2","2",21.651964505
"1","3",20.263236169
"2","3",21.099400569
"2","2",19.205580309
"2","2",28.890990727
"2","1",24.194527253
"2","2",20.621835294
"2","3",31.870358443
"2","2",22.750837608
"2","3",21.477656177
"2","2",18.740788966
"2","1",23.223168576
"2","2",22.730097265
"2","2",28.270277266
"2","1",33.739581572
"2","2",24.752472876
"2","2",33.734946191
"2","3",21.998680963
"2","3",28.956986888
"2","2",19.137325153
"2","3",20.989040843
"2","2",29.632748937
"2","2",20.535459407
"2","2",19.043264532
"2","2",38.139518134
"2","2",28.245437837
"2","1",23.967600578
"1","2",28.023697372
"1","2",20.582044171
"1","1",18.218951227
"1","1",19.517407806
"1","2",24.85242904
"1","2",29.090443819
"1","2",24.350911716
"1","3",19.65637552
"2","2",20.239572395
"1","3",35.462295596
"1","3",18.96842101
"1","2",26.905732979
"1","2",31.21098354
"1","3",17.984839525
"1","2",20.141466557
"1","2",27.889776435
"1","2",24.016424634
"2","2",26.321411133
"1","2",20.716064022
"2","2",30.456307193
"1","1",33.733857918
"1","2",23.61593051
"2","3",17.92201336
"2","2",38.820864464
"2","2",30.419838818
"1","3",29.398768138
"1","2",28.456901228
"1","2",24.229921836
"2","3",21.523861734
"1","3",19.08827377
"1","2",24.485969295
"2","2",20.513795268
"2","2",31.249557232
"1","2",16.603682152
"2","1",39.02870891
"1","2",27.349669452
"1","2",20.689282075
"2","2",19.77066034
"1","2",20.204446249
"1","3",24.268911534
"2","2",26.241317256
"2","3",25.850986731
"1","3",19.619690232
"1","2",18.531692183
"1","2",35.845457926
"1","1",21.779940922
"2","2",21.894895565
"1","3",27.714725936
"1","2",21.04111474
"1","2",20.36222023
"1","3",22.071284421
"1","1",35.003273577
"1","2",23.412217133
"1","2",27.686126526
"1","2",19.851660238
"1","3",19.304293753
"1","2",30.369648969
"2","2",19.159033118
"2","2",31.724594635
"1","2",21.365613865
"1","2",32.87807198
"2","1",26.237480041
"1","2",26.411586702
"2","1",15.79524478
"1","3",25.872891415
"2","3",18.066594307
"2","3",20.588871345
"1","1",22.14670179
"1","2",25.128090889
"1","2",33.26383824
"1","2",20.116173777
"2","2",35.653435447
"2","3",29.048537465
"2","2",21.702617242
"2","2",26.280225663
"2","1",23.211663814
"2","3",18.319078005
"2","2",20.234935559
"2","2",27.031164759
"2","2",19.946926199
"2","1",18.483786629
"2","3",24.709302326
"2","2",37.92337768
"2","2",27.651162661
"2","3",21.824364046
"2","2",27.564522974
"2","3",24.435255263
"2","2",18.584026374
"2","2",18.471694154
"2","2",30.844657348
"2","2",42.707225038
"2","2",22.081045805
"2","1",19.358639845
"2","1",38.845428183
"2","3",21.715994003
"2","2",23.826925497
"2","3",20.673977267
"2","2",21.624074828
"2","3",21.685465946
"2","1",43.524060228
"1","1",28.664356914
"1","2",26.939644201
"1","1",39.904644862
"1","1",18.700938544
"2","2",22.437311238
"1","2",18.483935187
"1","3",19.13494306
"1","1",23.779471427
"2","3",29.2578125
"1","2",22.589987931
"1","3",21.696649438
"1","3",40.112147279
"1","2",25.768850697
"2","2",23.434298468
"1","3",20.332962468
"1","2",27.135383656
"1","3",23.358616802
"1","2",24.431725361
"2","2",27.436401106
"1","3",18.977352747
"2","2",23.443828631
"2","1",30.008075891
"2","3",21.155219492
"2","3",28.470541559
"1","2",30.599274814
"2","2",38.425605536
"1","2",24.258674072
"2","2",18.194953777
"2","2",19.747820334
"1","2",53.213654522
"1","1",24.149797745
"2","3",24.860342315
"1","2",20.052570364
"2","2",32.026885108
"2","2",34.442354206
"1","1",37.93889377
"2","3",29.033305116
"1","2",31.159023367
"2","1",24.573225014
"2","2",24.783522226
"2","2",21.38191605
"2","3",26.751989085
"2","2",24.706325814
"2","2",21.203955523
"2","1",26.176078806
"2","2",28.578456418
"2","2",25.962104081
"1","3",21.100019009
"1","1",17.969094277
"1","2",22.029190759
"1","2",19.269576476
